place,category,x,y,address
난석민속품전시관,"문화,예술 > 문화시설 > 전시관",37.5185533126368,126.906629337581,서울 영등포구 영등포동3가 7-14
커먼센터,"문화,예술 > 문화시설 > 전시관",37.5158395471282,126.904446235191,서울 영등포구 영등포동4가 426-2
위켄드,"문화,예술 > 문화시설 > 전시관",37.5158575525345,126.904428114073,서울 영등포구 영등포동4가 426-2
씨에이치문화원,"문화,예술 > 문화시설 > 문화원",37.5052569075741,126.892512104392,서울 구로구 구로동 27-6
엔티라이브,"문화,예술 > 문화시설 > 공연장,연극극장",37.4968128115055,126.890687711735,서울 구로구 구로동 104-1
화이트칼럼스,"문화,예술 > 문화시설 > 공연장,연극극장",37.5134987947887,126.893952617039,서울 영등포구 문래동2가 44-14
CTS아트홀,"문화,예술 > 문화시설 > 공연장,연극극장",37.512974613298,126.937061522698,서울 동작구 노량진동 27-2
동작문화원,"문화,예술 > 문화시설 > 문화원",37.5044135474575,126.94109946093,서울 동작구 상도동 176-3
아트홀봄,"문화,예술 > 문화시설 > 공연장,연극극장",37.511837252159,126.92714521582,서울 동작구 대방동 345-1
상도어울마당 아트홀,"문화,예술 > 문화시설 > 공연장,연극극장",37.4992630371498,126.940378609472,서울 동작구 상도동 202-237
끌레르 아트홀,"문화,예술 > 문화시설 > 공연장,연극극장",37.5086695188149,126.940349639324,서울 동작구 노량진동 231-170
아트마트,"문화,예술 > 문화시설 > 전시관",37.498493137413,126.923923884482,서울 동작구 대방동 412-20
국화소극장,"문화,예술 > 문화시설 > 공연장,연극극장",37.5047776367977,126.941266558176,서울 동작구 상도동 170-26
아이공유,"문화,예술 > 문화시설 > 미술관",37.5109112619492,126.921884422136,서울 영등포구 신길동 465-22
상도 푸르지오 클라베뉴,"문화,예술 > 문화시설 > 전시관",37.5046655322969,126.938744590875,서울 동작구 상도동 26-20
아리인,"문화,예술 > 문화시설 > 공연장,연극극장",37.50580611179,126.92456791077,서울 동작구 대방동 501
농심 식문화연구,"문화,예술 > 문화시설 > 문화원",37.496604840721,126.918827951967,서울 동작구 신대방동 370-1
AAC아트홀,"문화,예술 > 문화시설 > 공연장,연극극장",37.5107410650298,126.93224961509,서울 동작구 대방동 23-107
쏙아트홀,"문화,예술 > 문화시설 > 공연장,연극극장",37.5107879302025,126.932272193905,서울 동작구 대방동 23-109
한불문화원,"문화,예술 > 문화시설 > 문화원",37.5044814958202,126.921588023605,서울 영등포구 신길동 841
롯데시네마 서울대입구,"문화,예술 > 영화,영상 > 영화관 > 롯데시네마",37.480973433386254,126.95215035036244,서울 관악구 봉천동 862-1
우리누리아트,"문화,예술 > 문화시설 > 공연장,연극극장",37.4746296070962,126.95259981743,서울 관악구 봉천동 1592-9
콜링아트센터,"문화,예술 > 문화시설 > 공연장,연극극장",37.47770964299986,126.95840669011749,서울 관악구 봉천동 1626-22
숭실대학교 한국기독교박물관,"문화,예술 > 문화시설 > 박물관",37.4956878521096,126.95699222933,서울 동작구 상도동 511
동작문화원 사당분원,"문화,예술 > 문화시설 > 문화원",37.4847535518423,126.969657437861,서울 동작구 사당동 248-6
작당모의 극장,"문화,예술 > 문화시설 > 공연장,연극극장",37.478215927588,126.958172381984,서울 관악구 봉천동 1620-35
예강갤러리,"문화,예술 > 문화시설 > 미술관",37.4950070089407,126.957874660011,서울 동작구 상도동 506-4
배우는소극장,"문화,예술 > 문화시설 > 공연장,연극극장",37.4755225893405,126.96589877554,서울 관악구 봉천동 1656-6
이희자갤러리,"문화,예술 > 문화시설 > 미술관",37.47449127070142,126.9585045671942,서울 관악구 봉천동 산 53-1
